rank,signal,weight
1,up_day_ratio_20d,0.09371339054605148
2,down_day_ratio_20d,0.07293108697833803
3,up_day_ratio_10d,0.07197059714070338
4,up_day_ratio_5d,0.051264939496545765
5,down_day_ratio_10d,0.04445903845856068
6,avg_abs_move_10d,0.03787256228403429
7,avg_abs_move_20d,0.03745930024696283
8,volatility_20d,0.03480461953164764
9,volatility_10d,0.03466772733538123
10,up_day_ratio_3d,0.03232400859340225
11,down_day_ratio_5d,0.03229465351544512
12,down_day_ratio_3d,0.031665175297231
13,avg_abs_move_5d,0.029457715017656358
14,market_return_5d,0.02742988163564861
15,avg_abs_move_3d,0.026271084041972034
16,volatility_5d,0.023868839966583306
17,distance_from_20d_low,0.020655730029277498
18,return_1d_lag_3,0.018494487175926274
19,distance_from_50d_low,0.01792869277610476
20,return_1d_lag_10,0.017927396883391716
21,distance_from_20d_high,-0.01633885542076832
22,volatility_3d,0.0161233791976244
23,avg_return_2d,-0.01379368429590732
24,sum_return_2d,-0.01379368429590732
25,sum_return_10d,0.012580424492020842
26,avg_return_10d,0.012580424492020839
27,distance_from_50d_high,-0.012000725012369554
28,price_vs_ma_3d,-0.011988710044004237
29,return_1d_lag_1,-0.011354601027420514
30,sector_return_5d,0.011267649467303057
31,avg_return_20d,0.01066076083782532
32,sum_return_20d,0.010660760837825318
33,return_1d_lag_4,0.009697903045121067
34,sector_return_1d,-0.008662457194991913
35,price_vs_ma_50d,0.008607842434570866
36,return_1d_lag_2,-0.0079424430120415
37,sum_return_5d,0.007828737262888687
38,avg_return_5d,0.007828737262888685
39,return_1d_lag_5,0.007663630427827111
40,relative_strength_5d,0.006514302207700722
41,price_vs_ma_20d,0.0063536776010042016
42,price_vs_ma_5d,-0.00623493754545041
43,return_1d_lag_9,0.003053150492780564
44,return_1d_lag_7,0.0024698203610128257
45,return_1d_lag_6,-0.0021063142203537766
46,return_1d_lag_8,0.0015900792246335204
47,price_vs_ma_10d,0.0010790030344698467
48,market_return_1d,-0.0008315622622526912
49,sum_return_3d,-0.0004654080190751053
50,avg_return_3d,-0.0004654080190751033
